aletia_id,action,specialty,note
ALT-006409,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006412,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006441,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006464,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006467,override,Urology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006545,override,Oncology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006555,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006559,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006596,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006604,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006628,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006633,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006642,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006671,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006738,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006745,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006746,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006753,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006755,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006756,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006810,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006835,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006839,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006846,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006857,override,Oncology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006873,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006916,override,Oncology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006931,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006936,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006940,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006947,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006952,override,Urology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006955,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006958,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-006959,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007012,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007039,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007067,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007122,override,Cardiology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007145,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007159,override,Orthopaedics,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007160,override,Pulmonology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007164,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007174,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007177,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007188,override,Gastroenterology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-007204,override,Neurology,Full-review decision 13 Jul 2026 (suggested-changes accept)
ALT-001022,confirm,Radiology,Full-review decision 13 Jul 2026 (suggestion rejected — keep Radiology)
ALT-001023,confirm,Radiology,Full-review decision 13 Jul 2026 (suggestion rejected — keep Radiology)
ALT-001041,confirm,Radiology,Full-review decision 13 Jul 2026 (suggestion rejected — keep Radiology)
ALT-001062,confirm,Radiology,Full-review decision 13 Jul 2026 (suggestion rejected — keep Radiology)
ALT-006358,confirm,Radiology,Full-review decision 13 Jul 2026 (suggestion rejected — keep Radiology)
ALT-007165,override,Cardiology,"Arterys Cardio DL — cardiac MR quantification (decided 13 Jul, closes review skip)"
